train_loss: 2.0911322514216106,val_loss: 2.0930648922920225, val_perplexity: 8.109732570385107
train_loss: 2.1291645765304565,val_loss: 2.090988234678904, val_perplexity: 8.092908907042755
train_loss: 2.112282168865204,val_loss: 2.102981682618459, val_perplexity: 8.190555175947027
train_loss: 2.0902063926060994,val_loss: 2.1080385565757753, val_perplexity: 8.232078682194452
train_loss: 2.1148269057273863,val_loss: 2.0961415926615397, val_perplexity: 8.134722210686034
train_loss: 2.0915521105130512,val_loss: 2.1035332322120666, val_perplexity: 8.195073919366738
train_loss: 2.1001918077468873,val_loss: 2.1077635804812114, val_perplexity: 8.229815368541114
train_loss: 2.0698375662167865,val_loss: 2.1082067489624023, val_perplexity: 8.233463371598756
train_loss: 2.0970882852872212,val_loss: 2.099706768989563, val_perplexity: 8.163775689360188
train_loss: 2.098467934131622,val_loss: 2.0951985637346904, val_perplexity: 8.127054548311424
train_loss: 2.115206408500671,val_loss: 2.0734027862548827, val_perplexity: 7.951835529694533
train_loss: 2.076570153236389,val_loss: 2.0936187664667765, val_perplexity: 8.114225585987796
train_loss: 2.1202888329823812,val_loss: 2.103561838467916, val_perplexity: 8.195308353101101
train_loss: 2.115131183465322,val_loss: 2.090206865469615, val_perplexity: 8.086587827079441
train_loss: 2.1227482835451763,val_loss: 2.081003487110138, val_perplexity: 8.012505327219358
train_loss: 2.118303902943929,val_loss: 2.0901930212974547, val_perplexity: 8.086475875740312
train_loss: 2.087066646416982,val_loss: 2.0864270250002543, val_perplexity: 8.056079509761013
train_loss: 2.0944106499354045,val_loss: 2.088769880930583, val_perplexity: 8.074975870497592
train_loss: 2.072440584500631,val_loss: 2.0879582206408185, val_perplexity: 8.068424392389685
train_loss: 2.0765666087468464,val_loss: 2.0838778614997864, val_perplexity: 8.035569398837564
train_loss: 2.1006563742955526,val_loss: 2.0812848687171934, val_perplexity: 8.01476021607212
train_loss: 2.086560332775116,val_loss: 2.0894076307614644, val_perplexity: 8.080127327489185
train_loss: 2.0797835032145184,val_loss: 2.0809032758076986, val_perplexity: 8.011702423855384
train_loss: 2.09847442706426,val_loss: 2.071643320719401, val_perplexity: 7.937856850244751
train_loss: 2.0735557079315186,val_loss: 2.0835817734400432, val_perplexity: 8.033190514882278
train_loss: 2.0924665967623395,val_loss: 2.0825348059336344, val_perplexity: 8.024784426658872
train_loss: 2.0632420897483827,val_loss: 2.0769708792368573, val_perplexity: 7.980259097051746
train_loss: 2.0583692312240602,val_loss: 2.0784181038538616, val_perplexity: 7.991816685663206
train_loss: 2.0840762774149577,val_loss: 2.0750805934270224, val_perplexity: 7.965188374995341
train_loss: 2.05000794728597,val_loss: 2.0786802570025125, val_perplexity: 7.99391204021069
train_loss: 2.0725017547607423,val_loss: 2.062470054626465, val_perplexity: 7.865373738863713
train_loss: 2.088254475593567,val_loss: 2.07854384581248, val_perplexity: 7.992821655528295
train_loss: 2.0666402022043866,val_loss: 2.07645796140035, val_perplexity: 7.976166929383528
train_loss: 2.098799697558085,val_loss: 2.065439756711324, val_perplexity: 7.888766272890932
train_loss: 2.0603859225908914,val_loss: 2.0626480062802632, val_perplexity: 7.866773519671247
train_loss: 2.0523542245229085,val_loss: 2.0830189188321433, val_perplexity: 8.028670268824836
train_loss: 2.076563994089762,val_loss: 2.043401531378428, val_perplexity: 7.716813589650641
train_loss: 2.054944554964701,val_loss: 2.066644529501597, val_perplexity: 7.898276171328489
train_loss: 2.0500219543774922,val_loss: 2.0824652711550393, val_perplexity: 8.024226444450301
train_loss: 2.072819781303406,val_loss: 2.059493160247803, val_perplexity: 7.841994168515801
train_loss: 2.0863977948824566,val_loss: 2.056606654326121, val_perplexity: 7.819390843919818
train_loss: 2.0634687741597495,val_loss: 2.0625099619229634, val_perplexity: 7.865687630928831
train_loss: 2.061460343996684,val_loss: 2.0615567922592164, val_perplexity: 7.85819386807559
